STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/6/2021,63,69,59,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/7/2021,61,67,57,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/8/2021,64,74,59,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/9/2021,67,75,58,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/10/2021,63,72,57,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/11/2021,62,70,57,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/12/2021,62,69,57,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/13/2021,62,76,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/14/2021,60,73,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/15/2021,60,65,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/16/2021,59,70,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/17/2021,60,72,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/18/2021,62,74,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/19/2021,61,70,56,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/20/2021,60,66,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/21/2021,61,68,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/22/2021,60,66,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/23/2021,61,75,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/24/2021,61,70,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/25/2021,61,71,56,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/26/2021,62,75,57,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/27/2021,65,75,58,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/28/2021,63,74,56,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/29/2021,63,72,57,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/30/2021,62,71,56,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/31/2021,64,75,58,
